2Theta,Intensity
5.01,20
5.029999999999999,24
5.05,25
5.069999999999999,23
5.09,21
5.109999999999999,13
5.13,25
5.1499999999999995,16
5.17,12
5.1899999999999995,13
5.21,20
5.2299999999999995,14
5.25,22
5.27,17
5.29,20
5.31,15
5.33,21
5.35,16
5.37,15
5.39,21
5.41,18
5.43,21
5.449999999999999,24
5.47,14
5.489999999999999,6
5.51,17
5.529999999999999,13
5.55,22
5.569999999999999,13
5.59,20
5.609999999999999,23
5.63,10
5.6499999999999995,22
5.67,19
5.6899999999999995,13
5.71,22
5.7299999999999995,17
5.75,22
5.77,21
5.79,17
5.81,16
5.83,17
5.85,16
5.869999999999999,13
5.89,21
5.91,11
5.93,16
5.949999999999999,19
5.97,19
5.989999999999999,21
6.01,18
6.029999999999999,12
6.05,17
6.069999999999999,21
6.09,21
6.109999999999999,15
6.13,14
6.1499999999999995,15
6.17,18
6.1899999999999995,25
6.209999999999999,8
6.2299999999999995,22
6.25,16
6.27,13
6.289999999999999,19
6.31,17
6.33,12
6.35,15
6.369999999999999,16
6.39,22
6.409999999999999,16
6.43,18
6.449999999999999,20
6.47,18
6.489999999999999,15
6.51,16
6.529999999999999,16
6.55,22
6.569999999999999,13
6.59,21
6.609999999999999,25
6.629999999999999,22
6.6499999999999995,19
6.67,21
6.6899999999999995,21
6.709999999999999,9
6.7299999999999995,14
6.75,8
6.77,11
6.789999999999999,14
6.81,14
6.829999999999999,10
6.85,8
6.869999999999999,17
6.89,12
6.909999999999999,14
6.93,22
6.949999999999999,13
6.97,21
6.989999999999999,13
7.01,10
7.029999999999999,20
7.049999999999999,14
7.069999999999999,17
7.09,7
7.109999999999999,16
7.129999999999999,11
7.1499999999999995,14
7.17,5
7.1899999999999995,16
7.209999999999999,12
7.2299999999999995,12
7.25,17
7.27,12
7.289999999999999,11
7.31,14
7.33,16
7.35,18
7.369999999999999,13
7.389999999999999,12
7.409999999999999,10
7.43,8
7.449999999999999,14
7.469999999999999,10
7.489999999999999,17
7.51,22
7.529999999999999,15
7.549999999999999,14
7.569999999999999,17
7.59,10
7.609999999999999,19
7.629999999999999,15
7.6499999999999995,16
7.67,6
7.6899999999999995,11
7.709999999999999,14
7.7299999999999995,5
7.75,16
7.77,18
7.789999999999999,8
7.809999999999999,14
7.829999999999999,18
7.85,8
7.869999999999999,12
7.889999999999999,19
7.909999999999999,10
7.93,7
7.949999999999999,7
7.969999999999999,12
7.989999999999999,11
8.01,16
8.03,14
8.049999999999999,19
8.07,12
8.09,14
8.11,13
8.129999999999999,9
8.149999999999999,11
8.17,15
8.19,12
8.209999999999999,13
8.229999999999999,17
8.25,15
8.27,13
8.29,10
8.309999999999999,10
8.329999999999998,15
8.35,11
8.37,12
8.389999999999999,13
8.41,11
8.43,16
8.45,9
8.469999999999999,11
8.489999999999998,12
8.51,14
8.53,11
8.549999999999999,13
8.57,11
8.59,14
8.61,8
8.629999999999999,15
8.649999999999999,16
8.669999999999998,15
8.69,12
8.709999999999999,7
8.729999999999999,13
8.75,15
8.77,7
8.79,14
8.809999999999999,14
8.829999999999998,10
8.85,8
8.87,12
8.889999999999999,9
8.91,10
8.93,14
8.95,12
8.969999999999999,13
8.989999999999998,9
9.01,4
9.03,16
9.049999999999999,11
9.07,12
9.09,10
9.11,9
9.129999999999999,14
9.149999999999999,16
9.169999999999998,13
9.19,12
9.209999999999999,10
9.23,5
9.25,7
9.27,14
9.29,9
9.309999999999999,11
9.329999999999998,17
9.349999999999998,11
9.37,9
9.389999999999999,8
9.41,11
9.43,14
9.45,11
9.469999999999999,13
9.489999999999998,12
9.509999999999998,15
9.53,3
9.549999999999999,6
9.57,9
9.59,18
9.61,15
9.629999999999999,8
9.649999999999999,8
9.669999999999998,9
9.69,13
9.709999999999999,7
9.729999999999999,13
9.75,11
9.77,6
9.79,15
9.809999999999999,12
9.829999999999998,11
9.849999999999998,20
9.87,8
9.889999999999999,14
9.91,15
9.93,9
9.95,10
9.969999999999999,7
9.989999999999998,9
10.009999999999998,9
10.03,11
10.049999999999999,15
10.07,15
10.09,13
10.11,11
10.129999999999999,16
10.149999999999999,12
10.169999999999998,8
10.189999999999998,11
10.209999999999999,13
10.229999999999999,9
10.25,9
10.27,9
10.29,3
10.309999999999999,16
10.329999999999998,13
10.349999999999998,14
10.37,12
10.389999999999999,14
10.41,10
10.43,9
10.45,22
10.469999999999999,9
10.489999999999998,6
10.509999999999998,14
10.53,10
10.549999999999999,11
10.569999999999999,9
10.59,10
10.61,16
10.629999999999999,5
10.649999999999999,6
10.669999999999998,8
10.689999999999998,11
10.709999999999999,10
10.729999999999999,17
10.75,9
10.77,14
10.79,13
10.809999999999999,11
10.829999999999998,7
10.849999999999998,4
10.87,13
10.889999999999999,12
10.91,19
10.93,16
10.95,14
10.969999999999999,8
10.989999999999998,10
11.009999999999998,11
11.029999999999998,13
11.049999999999999,9
11.069999999999999,5
11.09,14
11.11,10
11.129999999999999,12
11.149999999999999,10
11.169999999999998,8
11.189999999999998,6
11.209999999999999,12
11.229999999999999,13
11.25,13
11.27,8
11.29,14
11.309999999999999,7
11.329999999999998,10
11.349999999999998,9
11.37,7
11.389999999999999,10
11.409999999999998,15
11.43,12
11.45,12
11.469999999999999,6
11.489999999999998,10
11.509999999999998,5
11.529999999999998,8
11.549999999999999,8
11.569999999999999,9
11.59,16
11.61,8
11.629999999999999,5
11.649999999999999,16
11.669999999999998,12
11.689999999999998,5
11.709999999999999,6
11.729999999999999,12
11.75,7
11.77,6
11.79,10
11.809999999999999,9
11.829999999999998,10
11.849999999999998,8
11.869999999999997,10
11.889999999999999,12
11.909999999999998,9
11.93,10
11.95,10
11.969999999999999,10
11.989999999999998,10
12.009999999999998,10
12.029999999999998,11
12.049999999999999,9
12.069999999999999,9
12.09,9
12.11,10
12.129999999999999,18
12.149999999999999,16
12.169999999999998,7
12.189999999999998,11
12.209999999999999,11
12.229999999999999,9
12.25,19
12.27,9
12.29,9
12.309999999999999,7
12.329999999999998,9
12.349999999999998,9
12.369999999999997,11
12.389999999999999,15
12.409999999999998,11
12.43,9
12.45,15
12.469999999999999,7
12.489999999999998,17
12.509999999999998,7
12.529999999999998,16
12.549999999999999,13
12.569999999999999,11
12.59,12
12.61,9
12.629999999999999,17
12.649999999999999,18
12.669999999999998,12
12.689999999999998,17
12.709999999999997,6
12.729999999999999,11
12.749999999999998,9
12.77,9
12.79,10
12.809999999999999,10
12.829999999999998,13
12.849999999999998,14
12.869999999999997,9
12.889999999999999,13
12.909999999999998,13
12.93,5
12.95,6
12.969999999999999,10
12.989999999999998,7
13.009999999999998,2
13.03,6
13.049999999999999,15
13.069999999999999,21
13.089999999999998,13
13.11,7
13.129999999999999,11
13.149999999999999,7
13.169999999999998,9
13.189999999999998,8
13.209999999999999,20
13.229999999999999,11
13.249999999999998,7
13.269999999999998,12
13.29,13
13.309999999999999,17
13.329999999999998,12
13.349999999999998,7
13.37,9
13.389999999999999,5
13.409999999999998,9
13.429999999999998,10
13.45,10
13.469999999999999,10
13.489999999999998,10
13.509999999999998,10
13.53,11
13.549999999999999,10
13.569999999999999,12
13.589999999999998,13
13.609999999999998,6
13.629999999999999,12
13.649999999999999,16
13.669999999999998,18
13.689999999999998,9
13.709999999999999,8
13.729999999999999,7
13.749999999999998,15
13.769999999999998,11
13.79,11
13.809999999999999,12
13.829999999999998,10
13.849999999999998,9
13.87,4
13.889999999999999,14
13.909999999999998,11
13.929999999999998,8
13.95,10
13.969999999999999,13
13.989999999999998,9
14.009999999999998,9
14.029999999999998,6
14.049999999999999,13
14.069999999999999,7
14.089999999999998,11
14.109999999999998,11
14.129999999999999,13
14.149999999999999,16
14.169999999999998,3
14.189999999999998,4
14.209999999999999,9
14.229999999999999,12
14.249999999999998,6
14.269999999999998,3
14.29,10
14.309999999999999,10
14.329999999999998,6
14.349999999999998,7
14.37,10
14.389999999999999,8
14.409999999999998,9
14.429999999999998,11
14.449999999999998,13
14.469999999999999,10
14.489999999999998,9
14.509999999999998,10
14.529999999999998,11
14.549999999999999,10
14.569999999999999,10
14.589999999999998,8
14.609999999999998,11
14.629999999999999,8
14.649999999999999,13
14.669999999999998,7
14.689999999999998,9
14.709999999999999,10
14.729999999999999,16
14.749999999999998,5
14.769999999999998,13
14.79,10
14.809999999999999,9
14.829999999999998,10
14.849999999999998,7
14.869999999999997,9
14.889999999999999,12
14.909999999999998,9
14.929999999999998,7
14.949999999999998,5
14.969999999999999,15
14.989999999999998,16
15.009999999999998,8
15.029999999999998,8
15.049999999999999,13
15.069999999999999,12
15.089999999999998,6
15.109999999999998,12
