Omega,Intensity
16.7288,29
16.7338,26
16.7388,28
16.7438,33
16.7488,24
16.7538,36
16.7588,36
16.7638,31
16.7688,29
16.7738,19
16.7788,26
16.7838,25
16.7888,25
16.7938,28
16.7988,29
16.8038,31
16.8088,20
16.8138,32
16.8188,27
16.8238,28
16.8288,24
16.8338,26
16.8388,35
16.8438,22
16.8488,41
16.8538,21
16.8588,31
16.8638,26
16.8688,39
16.8738,33
16.878800000000002,32
16.8838,37
16.8888,32
16.8938,41
16.8988,42
16.9038,48
16.9088,58
16.913800000000002,73
16.9188,73
16.9238,71
16.9288,71
16.9338,71
16.9388,71
16.9438,83
16.948800000000002,90
16.9538,87
16.9588,79
16.9638,79
16.9688,72
16.9738,66
16.9788,68
16.983800000000002,47
16.9888,61
16.9938,55
16.9988,43
17.003800000000002,48
17.0088,53
17.0138,47
17.018800000000002,39
17.0238,51
17.0288,33
17.0338,47
17.038800000000002,36
17.0438,31
17.0488,48
17.053800000000003,22
17.0588,30
17.0638,24
17.0688,34
17.073800000000002,42
17.0788,22
17.0838,31
17.088800000000003,24
17.0938,24
17.0988,24
17.1038,27
17.108800000000002,28
17.1138,30
17.1188,26
17.123800000000003,18
17.128800000000002,31
17.1338,26
17.1388,36
17.143800000000002,18
17.1488,27
17.1538,34
17.158800000000003,26
17.163800000000002,28
17.1688,28
17.1738,17
17.178800000000003,28
17.1838,21
17.1888,30
17.193800000000003,25
17.198800000000002,30
17.2038,25
17.2088,21
17.213800000000003,20
17.2188,24
